chrom1	start1	end1	chrom2	start2	end2	tor1	tor2	score	enr
chr1	135250250	135250300	chr1	135507000	135507050	EE	EE	68.8000030517578	-2.99468620010353
chr1	135250300	135250350	chr1	135507000	135507050	EE	EE	68.8000030517578	-2.99468620010353
chr1	135278750	135278800	chr1	135507000	135507050	EE	EE	82.4000015258789	-2.30998024158291
chr1	135278800	135278850	chr1	135507000	135507050	EE	EE	82.4000015258789	-2.32044001322795
chr1	135278850	135278900	chr1	135507000	135507050	EE	EE	82.4000015258789	-2.32044001322795
chr1	156853750	156853800	chr1	157071450	157071500	EE	EE	78.8000030517578	-3.16992500144231
chr1	156853750	156853800	chr1	157071500	157071550	EE	EE	78.8000030517578	-3.16992500144231
chr1	156853800	156853850	chr1	157071450	157071500	EE	EE	78.8000030517578	-3.18256644084326
chr1	156853800	156853850	chr1	157071500	157071550	EE	EE	78.8000030517578	-3.18256644084326
chr1	156853850	156853900	chr1	157071450	157071500	EE	EE	78.8000030517578	-3.18256644084326
chr1	156853850	156853900	chr1	157071500	157071550	EE	EE	78.8000030517578	-3.18256644084326
chr1	156853900	156853950	chr1	157071450	157071500	EE	EE	78.8000030517578	-3.19041145767754
chr1	156853900	156853950	chr1	157071500	157071550	EE	EE	78.8000030517578	-3.19041145767754
chr1	159006550	159006600	chr1	159388600	159388650	EE	EE	83.4000015258789	-2.40209844357135
chr1	159006600	159006650	chr1	159388600	159388650	EE	EE	83.4000015258789	-2.40209844357135
chr1	159007300	159007350	chr1	159388600	159388650	EE	EE	83.4000015258789	-2.42518205668439
chr1	159007350	159007400	chr1	159388600	159388650	EE	EE	83.4000015258789	-2.42518205668439
chr1	159007400	159007450	chr1	159388600	159388650	EE	EE	83.4000015258789	-2.42518205668439
chr1	159007450	159007500	chr1	159388600	159388650	EE	EE	83.4000015258789	-2.42084312096005
chr1	159009600	159009650	chr1	159388600	159388650	EE	EE	85.9000015258789	-2.00433893572434
chr1	159009650	159009700	chr1	159388600	159388650	EE	EE	85.9000015258789	-2.00433893572434
chr1	167784000	167784050	chr1	168084450	168084500	EE	EE	73.3000030517578	-2.18472200337039
chr1	167784000	167784050	chr1	168084500	168084550	EE	EE	73.3000030517578	-2.18472200337039
chr1	167784050	167784100	chr1	168084450	168084500	EE	EE	73.3000030517578	-2.18472200337039
chr1	167784050	167784100	chr1	168084500	168084550	EE	EE	73.3000030517578	-2.18472200337039
chr1	174342500	174342550	chr1	174549550	174549600	EE	EE	75.8000030517578	-2.70721825077215
chr1	174342500	174342550	chr1	175307750	175307800	EE	LL	76.8000030517578	-2.51657552574091
chr1	174342500	174342550	chr1	175307800	175307850	EE	LL	76.8000030517578	-2.51657552574091
chr1	174342550	174342600	chr1	174549550	174549600	EE	EE	75.8000030517578	-2.74819284958946
chr1	174342550	174342600	chr1	175307750	175307800	EE	LL	76.8000030517578	-2.65604559878264
chr1	174342550	174342600	chr1	175307800	175307850	EE	LL	76.8000030517578	-2.65604559878264
chr1	174342600	174342650	chr1	174549550	174549600	EE	EE	75.8000030517578	-2.74819284958946
chr1	174342600	174342650	chr1	175307750	175307800	EE	LL	76.8000030517578	-2.65604559878264
chr1	174342600	174342650	chr1	175307800	175307850	EE	LL	76.8000030517578	-2.65604559878264
chr1	174420650	174420700	chr1	175307750	175307800	EE	LL	66.8000030517578	-3.39231742277876
chr1	174420650	174420700	chr1	175307800	175307850	EE	LL	66.8000030517578	-3.39231742277876
chr1	174420700	174420750	chr1	175307750	175307800	EE	LL	66.8000030517578	-3.39231742277876
chr1	174420700	174420750	chr1	175307800	175307850	EE	LL	66.8000030517578	-3.39231742277876
chr1	174458950	174459000	chr1	175307750	175307800	EE	LL	80.8000030517578	-2.7741880581224
chr1	174458950	174459000	chr1	175307800	175307850	EE	LL	80.8000030517578	-2.7741880581224
chr1	174459000	174459050	chr1	175307750	175307800	EE	LL	80.8000030517578	-2.7741880581224
chr1	174459000	174459050	chr1	175307800	175307850	EE	LL	80.8000030517578	-2.7741880581224
chr1	174459050	174459100	chr1	175307750	175307800	EE	LL	80.8000030517578	-2.7741880581224
chr1	174459050	174459100	chr1	175307800	175307850	EE	LL	80.8000030517578	-2.7741880581224
chr1	174549500	174549550	chr1	175307750	175307800	EE	LL	85.9000015258789	-3.03813512888677
chr1	174549500	174549550	chr1	175307800	175307850	EE	LL	85.9000015258789	-3.03813512888677
chr1	174549550	174549600	chr1	175307750	175307800	EE	LL	85.9000015258789	-3.03813512888677
chr1	174549550	174549600	chr1	175307800	175307850	EE	LL	85.9000015258789	-3.03813512888677
chr1	183811850	183811900	chr1	184070700	184070750	EE	EE	86.9000015258789	-3.00642626915943
chr1	183811900	183811950	chr1	184070700	184070750	EE	EE	86.9000015258789	-3.00642626915943
chr1	183819000	183819050	chr1	184070700	184070750	EE	EE	86.9000015258789	-2.7120339008808
chr1	183819050	183819100	chr1	184070700	184070750	EE	EE	86.9000015258789	-2.75296416493568
chr1	183819100	183819150	chr1	184070700	184070750	EE	EE	86.9000015258789	-2.75296416493568
chr1	183819150	183819200	chr1	184070700	184070750	EE	EE	86.9000015258789	-2.7415626082763
chr1	183819200	183819250	chr1	184070700	184070750	EE	EE	86.9000015258789	-2.7415626082763
chr1	193112850	193112900	chr1	193641850	193641900	EE	EE	67.8000030517578	-2.40858247714154
chr1	193112850	193112900	chr1	193641900	193641950	EE	EE	67.8000030517578	-2.41503749927884
chr1	193399800	193399850	chr1	193641850	193641900	EE	EE	85.4000015258789	-2.25531649267296
chr1	193399800	193399850	chr1	193641900	193641950	EE	EE	85.4000015258789	-2.25531649267296
chr1	193399850	193399900	chr1	193641850	193641900	EE	EE	85.4000015258789	-2.25531649267296
chr1	193399850	193399900	chr1	193641900	193641950	EE	EE	85.4000015258789	-2.25531649267296
chr1	193399900	193399950	chr1	193641850	193641900	EE	EE	85.4000015258789	-2.25531649267296
chr1	193399900	193399950	chr1	193641900	193641950	EE	EE	85.4000015258789	-2.25531649267296
chr1	193399950	193400000	chr1	193641850	193641900	EE	EE	85.4000015258789	-2.25715783949712
chr1	193399950	193400000	chr1	193641900	193641950	EE	EE	85.4000015258789	-2.25715783949712
chr10	24509700	24509750	chr10	24959150	24959200	EE	EE	71.8000030517578	-2.3078985349833
chr10	58751900	58751950	chr10	59277750	59277800	EE	EE	61.2999992370605	-3.4166467521405
chr10	58751900	58751950	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.40541308039044
chr10	58751900	58751950	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.40541308039044
chr10	58751900	58751950	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.40541308039044
chr10	58751900	58751950	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.4178525148859
chr10	58751900	58751950	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.4178525148859
chr10	58751900	58751950	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.4178525148859
chr10	58751950	58752000	chr10	59277750	59277800	EE	EE	61.2999992370605	-3.4166467521405
chr10	58751950	58752000	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.40541308039044
chr10	58751950	58752000	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.40541308039044
chr10	58751950	58752000	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.40541308039044
chr10	58751950	58752000	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.4178525148859
chr10	58751950	58752000	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.4178525148859
chr10	58751950	58752000	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.4178525148859
chr10	58752000	58752050	chr10	59277750	59277800	EE	EE	61.2999992370605	-3.4166467521405
chr10	58752000	58752050	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.37503943134692
chr10	58752000	58752050	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.37503943134692
chr10	58752000	58752050	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.37503943134692
chr10	58752000	58752050	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.24792751344359
chr10	58752000	58752050	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.24792751344359
chr10	58752000	58752050	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.24792751344359
chr10	58752000	58752050	chr10	59357700	59357750	EE	EE	64.8000030517578	-3.28128611039002
chr10	58752000	58752050	chr10	59357750	59357800	EE	EE	64.8000030517578	-3.30580842952409
chr10	58752050	58752100	chr10	59277750	59277800	EE	EE	61.2999992370605	-3.4166467521405
chr10	58752050	58752100	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.37503943134692
chr10	58752050	58752100	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.37503943134692
chr10	58752050	58752100	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.37503943134692
chr10	58752050	58752100	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.24792751344359
chr10	58752050	58752100	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.24792751344359
chr10	58752050	58752100	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.24792751344359
chr10	58752050	58752100	chr10	59357700	59357750	EE	EE	64.8000030517578	-3.28128611039002
chr10	58752050	58752100	chr10	59357750	59357800	EE	EE	64.8000030517578	-3.30580842952409
chr10	58758400	58758450	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.38702312310925
chr10	58758400	58758450	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.38702312310925
chr10	58758400	58758450	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.38702312310925
chr10	58758400	58758450	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.22496636500027
chr10	58758400	58758450	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.22496636500027
chr10	58758400	58758450	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.22496636500027
chr10	58758400	58758450	chr10	59357700	59357750	EE	EE	64.8000030517578	-3.26303440583379
chr10	58758400	58758450	chr10	59357750	59357800	EE	EE	64.8000030517578	-3.28540221886225
chr10	58758450	58758500	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.38702312310925
chr10	58758450	58758500	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.38702312310925
chr10	58758450	58758500	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.38702312310925
chr10	58758450	58758500	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.22496636500027
chr10	58758450	58758500	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.22496636500027
chr10	58758450	58758500	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.22496636500027
chr10	58758450	58758500	chr10	59357700	59357750	EE	EE	64.8000030517578	-3.26303440583379
chr10	58758450	58758500	chr10	59357750	59357800	EE	EE	64.8000030517578	-3.28540221886225
chr10	58758500	58758550	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.38702312310925
chr10	58758500	58758550	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.38702312310925
chr10	58758500	58758550	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.38702312310925
chr10	58758500	58758550	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.22496636500027
chr10	58758500	58758550	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.22496636500027
chr10	58758500	58758550	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.22496636500027
chr10	58758500	58758550	chr10	59357700	59357750	EE	EE	64.8000030517578	-3.26303440583379
chr10	58758500	58758550	chr10	59357750	59357800	EE	EE	64.8000030517578	-3.28540221886225
chr10	58759150	58759200	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759150	58759200	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759150	58759200	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759150	58759200	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759150	58759200	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759150	58759200	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759150	58759200	chr10	59357700	59357750	EE	EE	64.8000030517578	-3.27052894238072
chr10	58759150	58759200	chr10	59357750	59357800	EE	EE	64.8000030517578	-3.29278174922785
chr10	58759200	58759250	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759200	58759250	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759200	58759250	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759200	58759250	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759200	58759250	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759200	58759250	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759200	58759250	chr10	59357700	59357750	EE	EE	64.8000030517578	-3.27052894238072
chr10	58759200	58759250	chr10	59357750	59357800	EE	EE	64.8000030517578	-3.29278174922785
chr10	58759250	58759300	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759250	58759300	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759250	58759300	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759250	58759300	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759250	58759300	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759250	58759300	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759250	58759300	chr10	59357700	59357750	EE	EE	64.8000030517578	-3.27052894238072
chr10	58759250	58759300	chr10	59357750	59357800	EE	EE	64.8000030517578	-3.29278174922785
chr10	58759300	58759350	chr10	59327950	59328000	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759300	58759350	chr10	59328000	59328050	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759300	58759350	chr10	59328050	59328100	EE	EE	80.3000030517578	-2.46200097824943
chr10	58759300	58759350	chr10	59355850	59355900	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759300	58759350	chr10	59355900	59355950	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759300	58759350	chr10	59355950	59356000	EE	EE	64.8000030517578	-3.23266075679027
chr10	58759300	58759350	chr10	59357700	59357750	EE	EE	64.8000030517578	-3.27052894238072
chr10	58759300	58759350	chr10	59357750	59357800	EE	EE	64.8000030517578	-3.29278174922785
chr10	59870750	59870800	chr10	60159900	60159950	EE	EE	70.3000030517578	-2.38523748644204
chr10	59870750	59870800	chr10	60223250	60223300	EE	EE	70.3000030517578	-2.57154198495883
chr10	59870750	59870800	chr10	60223300	60223350	EE	EE	70.3000030517578	-2.61218396945618
chr10	59870750	59870800	chr10	60223350	60223400	EE	EE	70.3000030517578	-2.61218396945618
chr10	59870800	59870850	chr10	60159900	60159950	EE	EE	70.3000030517578	-2.38523748644204
chr10	59870800	59870850	chr10	60223250	60223300	EE	EE	70.3000030517578	-2.57154198495883
chr10	59870800	59870850	chr10	60223300	60223350	EE	EE	70.3000030517578	-2.61218396945618
chr10	59870800	59870850	chr10	60223350	60223400	EE	EE	70.3000030517578	-2.61218396945618
chr10	60223250	60223300	chr10	60515150	60515200	EE	EE	86.4000015258789	-2.84680014577219
chr10	60223300	60223350	chr10	60515150	60515200	EE	EE	86.4000015258789	-2.84680014577219
chr10	60297850	60297900	chr10	60515150	60515200	EE	EE	87.4000015258789	-2.45269004075824
chr10	60297900	60297950	chr10	60515150	60515200	EE	EE	87.4000015258789	-2.45269004075824
chr10	61340700	61340750	chr10	61645900	61645950	EE	EE	65.3000030517578	-2.9824416286157
chr10	61340700	61340750	chr10	61645950	61646000	EE	EE	65.3000030517578	-2.9824416286157
chr10	61340700	61340750	chr10	61646000	61646050	EE	EE	65.3000030517578	-2.9824416286157
chr10	61340700	61340750	chr10	61646050	61646100	EE	EE	65.3000030517578	-2.9824416286157
chr10	61340750	61340800	chr10	61645900	61645950	EE	EE	65.3000030517578	-2.98538290392782
chr10	61340750	61340800	chr10	61645950	61646000	EE	EE	65.3000030517578	-2.98538290392782
chr10	61340750	61340800	chr10	61646000	61646050	EE	EE	65.3000030517578	-2.98538290392782
chr10	61340750	61340800	chr10	61646050	61646100	EE	EE	65.3000030517578	-2.98538290392782
chr10	76298550	76298600	chr10	76545400	76545450	EE	EE	69.3000030517578	-3.07324898203064
chr10	76298550	76298600	chr10	76545450	76545500	EE	EE	69.3000030517578	-3.07324898203064
chr10	76298600	76298650	chr10	76545400	76545450	EE	EE	69.3000030517578	-3.07324898203064
chr10	76298600	76298650	chr10	76545450	76545500	EE	EE	69.3000030517578	-3.07324898203064
chr10	76298650	76298700	chr10	76545400	76545450	EE	EE	69.3000030517578	-3.15380533607904
chr10	76298650	76298700	chr10	76545450	76545500	EE	EE	69.3000030517578	-3.15380533607904
chr10	76745750	76745800	chr10	76972550	76972600	EE	EE	77.8000030517578	-2.64494460554939
chr10	76745750	76745800	chr10	76979950	76980000	EE	EE	77.8000030517578	-2.4045333724884
chr10	77481650	77481700	chr10	77875750	77875800	EE	EE	60.7000007629395	-2.66158378232407
chr10	77481650	77481700	chr10	77875800	77875850	EE	EE	60.7000007629395	-2.66158378232407
chr10	77481650	77481700	chr10	77875850	77875900	EE	EE	60.7000007629395	-2.68805599368526
chr10	77481650	77481700	chr10	77875900	77875950	EE	EE	60.7000007629395	-2.6587404268607
chr10	79388100	79388150	chr10	79627800	79627850	EE	EE	71.8000030517578	-2.46290939060881
chr10	79388100	79388150	chr10	79627850	79627900	EE	EE	71.8000030517578	-2.45361663679908
chr10	79388100	79388150	chr10	79627900	79627950	EE	EE	71.8000030517578	-2.45361663679908
chr10	79388100	79388150	chr10	79627950	79628000	EE	EE	71.8000030517578	-2.45128406548919
chr10	79388100	79388150	chr10	79628000	79628050	EE	EE	71.8000030517578	-2.45128406548919
chr10	79388150	79388200	chr10	79627800	79627850	EE	EE	71.8000030517578	-2.46290939060881
chr10	79388150	79388200	chr10	79627850	79627900	EE	EE	71.8000030517578	-2.45361663679908
chr10	79388150	79388200	chr10	79627900	79627950	EE	EE	71.8000030517578	-2.45361663679908
chr10	79388150	79388200	chr10	79627950	79628000	EE	EE	71.8000030517578	-2.45128406548919
chr10	79388150	79388200	chr10	79628000	79628050	EE	EE	71.8000030517578	-2.45128406548919
chr10	79388200	79388250	chr10	79627800	79627850	EE	EE	71.8000030517578	-2.46290939060881
chr10	79388200	79388250	chr10	79627850	79627900	EE	EE	71.8000030517578	-2.45361663679908
chr10	79388200	79388250	chr10	79627900	79627950	EE	EE	71.8000030517578	-2.45361663679908
chr10	79388200	79388250	chr10	79627950	79628000	EE	EE	71.8000030517578	-2.45128406548919
chr10	79388200	79388250	chr10	79628000	79628050	EE	EE	71.8000030517578	-2.45128406548919
chr10	79388250	79388300	chr10	79627800	79627850	EE	EE	71.8000030517578	-2.46290939060881
chr10	79388250	79388300	chr10	79627850	79627900	EE	EE	71.8000030517578	-2.45361663679908
chr10	79388250	79388300	chr10	79627900	79627950	EE	EE	71.8000030517578	-2.45361663679908
chr10	79388250	79388300	chr10	79627950	79628000	EE	EE	71.8000030517578	-2.45128406548919
chr10	79388250	79388300	chr10	79628000	79628050	EE	EE	71.8000030517578	-2.45128406548919
chr10	79388300	79388350	chr10	79627800	79627850	EE	EE	71.8000030517578	-2.46290939060881
chr10	79388300	79388350	chr10	79627850	79627900	EE	EE	71.8000030517578	-2.45361663679908
chr10	79388300	79388350	chr10	79627900	79627950	EE	EE	71.8000030517578	-2.45361663679908
chr10	79388300	79388350	chr10	79627950	79628000	EE	EE	71.8000030517578	-2.45128406548919
chr10	79388300	79388350	chr10	79628000	79628050	EE	EE	71.8000030517578	-2.45128406548919
chr10	80210300	80210350	chr10	80450950	80451000	EE	EE	68.8000030517578	-2.32780466122403
chr10	80210300	80210350	chr10	80451000	80451050	EE	EE	68.8000030517578	-2.32780466122403
chr10	80210300	80210350	chr10	80451050	80451100	EE	EE	68.8000030517578	-2.24207478719815
chr10	80210300	80210350	chr10	80458100	80458150	EE	EE	70.8000030517578	-1.87141579393859
chr10	80210300	80210350	chr10	80458150	80458200	EE	EE	70.8000030517578	-1.87141579393859
chr10	80210300	80210350	chr10	80458200	80458250	EE	EE	70.8000030517578	-1.87141579393859
chr10	80210300	80210350	chr10	80461750	80461800	EE	EE	70.8000030517578	-1.89178370321831
chr10	80210300	80210350	chr10	80462750	80462800	EE	EE	70.8000030517578	-1.95269428522164
chr10	80210300	80210350	chr10	80462800	80462850	EE	EE	70.8000030517578	-1.95269428522164
chr10	80210350	80210400	chr10	80450950	80451000	EE	EE	68.8000030517578	-2.32780466122403
chr10	80210350	80210400	chr10	80451000	80451050	EE	EE	68.8000030517578	-2.32780466122403
chr10	80210350	80210400	chr10	80451050	80451100	EE	EE	68.8000030517578	-2.24207478719815
chr10	80210350	80210400	chr10	80458100	80458150	EE	EE	70.8000030517578	-1.87141579393859
chr10	80210350	80210400	chr10	80458150	80458200	EE	EE	70.8000030517578	-1.87141579393859
chr10	80210350	80210400	chr10	80458200	80458250	EE	EE	70.8000030517578	-1.87141579393859
chr10	80210350	80210400	chr10	80461750	80461800	EE	EE	70.8000030517578	-1.89178370321831
chr10	80210350	80210400	chr10	80462750	80462800	EE	EE	70.8000030517578	-1.95269428522164
chr10	80210350	80210400	chr10	80462800	80462850	EE	EE	70.8000030517578	-1.95269428522164
chr10	82364350	82364400	chr10	82660850	82660900	EE	EE	69.3000030517578	-3.02272007650008
chr10	82364350	82364400	chr10	82660900	82660950	EE	EE	69.3000030517578	-3.02272007650008
chr10	82364400	82364450	chr10	82660850	82660900	EE	EE	69.3000030517578	-3.02272007650008
chr10	82364400	82364450	chr10	82660900	82660950	EE	EE	69.3000030517578	-3.02272007650008
chr10	92544400	92544450	chr10	92754250	92754300	EE	EE	74.8000030517578	-2.81508228408221
chr10	92544400	92544450	chr10	93011900	93011950	EE	EE	66.8000030517578	-2.93586966258028
chr10	120313400	120313450	chr10	120693650	120693700	EE	EE	65.8000030517578	-2.20353339408513
chr10	120313400	120313450	chr10	120693700	120693750	EE	EE	65.8000030517578	-2.20353339408513
chr10	121126800	121126850	chr10	121488950	121489000	EE	EL	82.9000015258789	-2.04147663597616
chr10	121126800	121126850	chr10	121489000	121489050	EE	EL	82.9000015258789	-2.04147663597616
chr10	121126800	121126850	chr10	121489050	121489100	EE	EL	82.9000015258789	-2.07800251200127
chr10	121126800	121126850	chr10	121489100	121489150	EE	EL	82.9000015258789	-2.07800251200127
chr10	126495350	126495400	chr10	126787800	126787850	EE	EE	61.2000007629395	-2.85147747528991
chr10	126495350	126495400	chr10	126787850	126787900	EE	EE	61.2000007629395	-2.85147747528991
chr10	126495400	126495450	chr10	126787800	126787850	EE	EE	61.2000007629395	-2.8630190971726
chr10	126495400	126495450	chr10	126787850	126787900	EE	EE	61.2000007629395	-2.8630190971726
chr10	126495450	126495500	chr10	126787800	126787850	EE	EE	61.2000007629395	-2.85437154855909
chr10	126495450	126495500	chr10	126787850	126787900	EE	EE	61.2000007629395	-2.85437154855909
chr11	22517700	22517750	chr11	22857050	22857100	EE	EE	89.4000015258789	-2.94622874355902
chr11	22517700	22517750	chr11	22857100	22857150	EE	EE	89.4000015258789	-2.93476962818396
chr11	22517750	22517800	chr11	22857050	22857100	EE	EE	89.4000015258789	-2.94622874355902
chr11	22517750	22517800	chr11	22857100	22857150	EE	EE	89.4000015258789	-2.93476962818396
chr11	22517800	22517850	chr11	22857050	22857100	EE	EE	89.4000015258789	-2.94622874355902
chr11	22517800	22517850	chr11	22857100	22857150	EE	EE	89.4000015258789	-2.93476962818396
chr11	45758400	45758450	chr11	46065650	46065700	EE	EE	74.3000030517578	-2.97789870757155
chr11	45758400	45758450	chr11	46065700	46065750	EE	EE	74.3000030517578	-2.9877633274811
chr11	45758400	45758450	chr11	46090400	46090450	EE	EE	72.3000030517578	-2.80118954925189
chr11	45758450	45758500	chr11	46065650	46065700	EE	EE	74.3000030517578	-2.9877633274811
chr11	45758450	45758500	chr11	46065700	46065750	EE	EE	74.3000030517578	-2.99756095454858
chr11	45758450	45758500	chr11	46090400	46090450	EE	EE	72.3000030517578	-2.80427552912563
chr11	45758500	45758550	chr11	46065650	46065700	EE	EE	74.3000030517578	-2.9877633274811
